OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
+,6828,9722,7335,4601,5840,7448,47,9939,5735,6576
+,4320,7419,1139,2956,5503,2975,3530,237,5352,6872
+,3461,663,6212,3842,9662,9505,3838,8982,1742,6634
+,1147,7308,2320,4128,4072,8860,2326,4406,6244,4620
+,4499,1121,7726,7931,452,7939,6601,5197,5549,7601
+,8043,2012,6678,9116,4943,8639,1487,66,7778,9453
+,4215,6318,3396,5341,3452,1198,7847,9219,3934,9678
+,7904,360,1479,4068,5842,6927,9305,7421,3864,8902
+,8005,7944,5329,4282,6520,3233,1413,2275,7211,8139
+,5950,5696,7836,7905,8142,9500,8004,1070,2095,7557
-,5613,167,9799,7329,6079,4487,9944,4753,7878,9367
+,8833,9954,7590,5942,8934,5728,4131,6754,2963,6614
+,1342,8462,6032,8311,1112,9775,204,2533,7463,4011
+,3085,8072,6287,7915,5033,2311,1302,5212,4483,6829
+,548,6411,6187,5058,9762,6758,1110,7446,4106,2763
+,4929,7087,6011,4432,505,1630,4058,7491,5798,5985
+,9710,701,1064,3075,2213,9068,9425,6620,5837,669
+,9845,604,1087,4073,1565,3207,3349,4500,4388,9820
+,2560,2977,284,7580,3690,4965,3885,7434,8012,6269
+,3076,1041,2842,6962,4724,7625,2442,1545,1791,4236
+,3274,8493,9710,652,5652,1781,8063,3330,7249,2190
-,8476,4260,7815,2462,5392,9509,3652,4578,8500,1740
+,2593,3223,4516,7797,1556,2447,1529,4749,8480,4703
+,2297,5669,9433,3903,9456,5924,6641,1029,5570,582
+,6000,4880,4332,7607,7503,7372,3205,7271,7001,3684
+,9774,2679,8639,251,4687,7898,4143,5257,6629,3544
+,3358,9658,6918,5351,582,262,8260,1953,8274,4883
+,8354,3357,9444,5293,90,3169,5273,1636,4052,8047
+,3153,8814,1058,1163,6257,8739,3410,1517,9036,1113
+,6900,1013,4234,977,9575,9968,1114,6075,4671,3436
+,2631,2134,7505,8660,4164,3666,1728,6881,686,1921
+,3902,8577,6034,1734,4139,7058,7373,5044,4419,2493
-,8507,9180,8512,8404,8613,2654,3033,1798,1343,5997
+,8006,1365,111,4225,3853,8115,9175,4575,1485,3546
+,8644,5474,9090,6360,621,2702,4371,4796,2872,8440
+,1358,7733,7637,537,3011,7829,5711,9328,5705,7241
+,5378,8765,712,9197,4015,9182,6195,8089,6668,9555
+,7887,2219,8445,8471,6350,4083,3264,2645,1559,3261
+,2303,8470,9153,2535,8336,4891,9646,5680,6591,1532
+,3969,1041,6685,988,7458,7044,4495,3961,7701,4227
+,4212,2205,5529,7801,8798,6123,1386,8078,1629,8805
+,7943,7241,615,5374,8663,4982,992,2419,5251,7458
+,1377,8575,2986,991,7000,7491,680,4861,4773,4794
-,8237,7051,2096,9766,238,6812,1267,56,7297,7425
+,3555,7362,7991,9790,6064,3619,4833,9393,5001,7766
+,7602,9388,1775,7240,1176,791,471,3806,8209,2698
+,4942,4322,251,9399,4214,2855,5034,6609,8782,8161
+,8738,3207,3554,244,5085,5923,6944,947,9675,1720
+,4304,5379,2895,4962,7227,4215,237,7954,3527,9659
+,9757,9232,5297,1860,4699,1596,6837,5838,8481,3113
+,3897,9200,9539,593,7081,1928,1192,4826,6677,7038
+,9451,936,7957,7549,2683,3128,2491,6313,7270,6831
+,1867,332,1537,7665,4008,4693,3493,6627,434,4337
+,1216,9443,5504,2109,4310,9091,3624,1885,378,85
-,7358,1103,5056,5504,5540,8848,7893,1670,9147,1540
+,7655,3447,8363,3821,1445,5958,4889,7852,4939,7570
+,5440,4570,5118,6341,5668,1767,9055,7743,7536,9874
+,3362,9858,4629,6340,4484,6628,3120,9821,5458,2735
+,6817,4184,5111,2264,2005,7123,4172,5655,1724,836
+,1994,9234,1898,9894,5281,6032,8189,2881,2363,5879
+,9342,898,335,1898,6681,7734,8684,6772,6805,576
+,4890,9830,1650,5146,2556,4640,5506,1821,5296,4577
+,0,9850,1443,1617,9770,3077,3993,3090,7196,6535
+,5967,8476,6013,6987,4196,8960,5788,3072,9747,311
+,4790,6414,1879,4911,6295,3836,2248,9204,4174,5373
-,7057,2771,5064,8344,8652,8698,7454,2454,5623,3209
+,3277,2399,2733,5759,5746,8647,3698,3893,9833,9562
+,8486,5656,6383,5688,2997,9255,9700,9975,2728,1025
+,364,6496,2563,8392,6934,8461,8212,2689,1691,9030
+,8584,1854,5679,8127,8164,190,4277,172,3474,3193
+,3051,8750,4591,1795,3853,3237,9317,9611,7567,881
+,4832,4046,2932,7872,6136,2016,3057,8624,710,2654
+,6611,2880,4389,8889,6954,3998,4217,5616,6927,5159
+,9523,2355,1073,7390,8901,3303,8146,8772,9325,9375
+,3913,5139,4712,5449,6165,926,7288,8070,4708,6972
+,8829,7927,2070,1943,1686,9547,8365,2644,5361,1475
-,883,6303,7878,2112,6211,1763,4212,4446,6158,5777
+,8301,1179,6282,8902,3036,3127,414,9746,9491,1211
+,7145,5983,1191,3549,4982,1290,5579,8617,6369,3843
+,973,4940,3375,3036,9149,6847,3529,7296,3853,3938
+,4140,7152,6878,3727,4005,6389,4000,9517,770,5741
+,8623,8198,5680,9127,3805,8192,8385,6621,4782,3371
+,8235,5377,7969,3203,8753,4107,7349,7102,289,4813
+,8277,4773,8582,7930,6763,5356,557,3530,9155,1600
+,7206,7547,5791,6363,1423,8057,5947,8629,3400,5291
+,8998,5491,6658,3854,7061,7815,66,9123,3435,4474
+,6661,7869,4601,6158,1669,1363,7408,1005,1813,4066
-,3549,5526,4139,2789,700,4983,4992,1288,9247,7199
+,344,2340,7384,2945,4277,6936,4019,8439,1767,8693
+,9964,7621,858,6299,2271,3647,4120,1879,4839,8068
+,4477,8145,3772,8498,6898,5945,2055,1086,9681,7572
+,7015,2950,8334,7930,7571,551,9486,9297,5069,9956
+,68,6862,8767,3865,2305,4060,9225,8465,8847,7352
+,5281,7056,2794,1000,1472,9822,2697,4845,132,1570
+,2148,3954,6006,4140,3303,3894,2881,8223,916,3845
+,7152,1453,1445,5322,6256,9782,9383,7092,3469,6531
+,2448,5542,6881,707,2422,2086,1723,6971,4102,8605
+,9745,3891,2649,644,6552,9209,6445,7203,9469,3185
-,7721,3176,6070,7262,2550,1738,7931,9082,4053,7540
+,1329,870,128,2143,6748,6169,7181,3721,2993,9745
+,8254,6139,7340,698,1937,9321,4474,741,1128,3756
+,2729,6108,6322,4736,1851,7734,152,5512,7251,1446
+,9290,9667,7538,5670,2740,1211,9503,1483,26,500
+,2133,5650,3778,812,2153,7521,8336,9451,293,457
+,1405,9834,7911,5292,8657,6071,1917,2151,6369,373
+,6824,6798,2305,3672,3752,6280,8476,750,643,2772
+,873,3027,6484,3371,2371,138,3,2696,5013,4683
+,9959,9051,6772,2783,6717,8586,1635,5221,1310,5061
+,166,9224,8990,51,147,1833,43,6546,8266,4356
-,2863,3478,5568,5012,7016,5307,8083,1963,4040,1778
+,7526,6966,9490,6720,3944,1510,6056,2461,1700,5085
+,747,2003,386,2079,4964,314,8621,2249,1743,8143
+,3521,4738,6304,4169,4353,5603,989,6526,3673,5226
+,5222,5790,5872,1053,4117,5646,2872,2487,9307,7895
+,7374,4041,1249,3465,4848,7293,5770,7369,6918,6336
+,6972,6952,9399,880,4207,2813,1485,8529,4324,1156
+,9837,5344,3045,309,6561,4528,9097,9285,9294,8442
+,5673,6988,9460,6927,2134,6868,9969,1855,4133,9084
+,7080,6838,4895,784,3504,1963,4724,4198,9074,5349
+,4976,9908,968,5073,9711,2895,1328,1203,2713,3611
-,5502,8689,5504,1663,7581,6323,1229,3191,4657,3165
+,62,2871,4921,1101,6879,9876,8833,1778,1976,7718
+,1753,4185,7592,4325,6422,8022,964,5733,8643,4414
+,2721,8786,6141,2097,7181,2569,1302,4233,3542,7758
+,3677,3795,6638,2887,5634,8983,2286,9322,1763,9694
+,2436,3279,9239,5294,4351,3600,3408,9441,7496,8080
+,2295,8061,7193,9780,6645,3438,5927,5162,2022,8428
+,2660,9585,7970,9519,2764,3955,1935,1296,5651,3526
+,9062,8251,8490,2409,7370,1032,7717,6334,5876,4594
+,6776,9813,2199,7165,2999,7395,2000,9464,1394,5018
+,8909,4654,6700,1734,4004,6764,4962,8221,9441,7750
-,371,6752,3297,76,4891,8223,8203,576,8676,4723
+,640,4164,8922,691,1112,5259,5803,9034,557,9497
+,9353,490,7533,7333,6304,3788,7489,7874,2120,939
+,2300,3754,9361,4319,1102,4615,8542,4495,8301,4715
+,5156,6694,3601,2122,1418,5158,9557,8847,8907,6119
+,2792,3266,9460,7924,2509,6652,8124,4108,2177,4793
+,409,8114,6729,6675,7534,6216,6948,4846,5961,2536
+,9003,4203,5889,9904,1518,808,108,1216,4061,7356
+,8330,4374,968,8597,8862,3468,8874,9835,7932,7666
+,4557,2182,7173,7578,4918,990,7411,8337,3251,6978
+,1891,2656,1919,2748,8163,339,4127,182,8208,9175
-,9162,8832,2441,5717,9501,6267,5562,7149,8365,4490
+,5157,4879,6918,2298,7181,4365,9067,4568,7479,5518
+,1738,7877,3200,9313,7680,5023,1795,2325,7850,7269
+,2971,6576,632,9619,7394,3744,5831,5851,2665,6096
+,2705,9898,9115,5849,8380,4886,3618,9524,7044,5341
+,5190,2295,4178,4562,6199,382,890,5192,455,3194
+,4940,2576,7405,1706,9841,7934,5137,5548,3797,1192
+,553,2243,368,629,4485,8121,88,7808,5855,9471
+,6125,3431,4077,7665,1954,9410,4483,4411,1384,4390
+,9599,2893,35,3807,6229,387,6977,6697,2544,5233
+,3001,2594,4420,1314,9680,1431,6556,433,8809,8686
-,6543,4936,8634,3475,2697,4282,741,2605,372,9397
+,8530,7522,5891,6237,5842,9715,6113,7908,9910,2464
+,5017,965,5577,7249,2405,4189,8509,4237,3080,2734
+,3469,6410,3302,8442,2907,6492,5171,2435,671,1123
+,8588,8309,8911,9354,3210,1515,2080,2353,8,2504
+,6044,2258,3325,8490,369,9477,9472,7103,7223,9326
+,7549,4891,3097,5194,6126,7622,268,3299,4943,6757
+,9468,9075,4618,9602,5934,4043,6900,2469,5300,3065
+,7379,9048,9870,856,5368,4171,718,1156,4693,3643
+,8015,5675,6191,9789,6749,9639,4658,5447,2509,7200
+,1898,2867,8057,9743,860,8606,5848,6990,9951,9431
-,991,3796,9563,9777,455,4618,3988,4691,4908,1500
+,2494,4782,2338,4624,875,6770,950,2094,8958,4697
+,3691,6772,6272,6227,5976,4498,2119,3358,1669,5948
+,5521,9357,2406,9144,1635,6477,5499,4236,882,9032
+,6231,3502,6697,2372,9188,471,2081,5465,3385,4809
+,2841,4682,3463,9249,2211,1678,6544,8611,2656,2870
+,3018,4860,2406,2185,8140,9259,6465,4847,2817,1708
+,8666,6595,3727,4150,172,2338,7714,4289,1149,7413
+,8161,4449,3004,8319,7665,1685,683,6579,3061,7241
+,7818,2929,7260,3,130,8389,9312,7068,9832,9382
+,4388,9678,1091,6789,4437,8078,314,3567,9537,2723
-,5709,6379,663,5309,8857,4026,9443,7544,5692,9946
+,61,8538,9338,2962,929,4886,4828,612,508,8527
+,4217,3217,7949,1765,4802,3915,3460,1807,2371,5563
+,6933,7088,2968,6506,6574,5005,1329,9201,85,9130
+,3319,4430,9671,2068,8513,3788,9263,4128,5020,3231
+,5714,4879,3731,5598,7320,1503,3866,2301,442,3853
+,7113,5524,8685,6643,8381,2071,7701,7827,5193,9956
+,319,1147,288,3195,6903,9057,5897,201,2697,4544
+,1237,9009,3605,1232,1209,2706,8520,5871,5339,9884
+,666,1002,9927,4391,5182,2967,4099,5498,5267,5039
+,6695,6433,8151,8373,1192,9877,9368,4843,8195,6493
-,5257,2050,9994,186,7952,1096,4550,9956,4238,6016
+,3538,4501,8029,8131,2056,817,4014,5638,2534,2998
+,6866,3705,7821,1617,1446,9044,6943,4742,5344,982
+,1769,5674,7168,9061,7410,8051,4895,7316,8365,5188
+,3665,5639,9044,7511,7910,8517,8404,8073,7532,9436
+,4110,2217,4712,1205,3393,2037,8148,8699,7220,2465
+,8095,4250,3300,3002,7104,3893,2834,6724,8897,4898
+,3271,628,8042,7925,7114,3571,6870,7734,2584,7293
+,2711,6663,7359,2035,8916,5777,4584,4366,7215,1776
+,3152,1276,6158,3134,6897,7536,2761,4168,6984,105
+,4953,1320,710,6974,1021,2208,7529,6873,9645,3902
-,5808,1483,1906,8298,9681,9934,9186,8488,5631,7889
+,6094,8977,2923,9996,2482,4320,6914,4598,1996,6595
+,4593,5761,9077,1051,4171,540,6787,2898,2701,1458
+,2551,3582,5799,1080,4498,7816,8333,8950,9179,1710
+,3743,2779,3875,8553,7744,3891,6598,5564,3795,7240
+,2330,991,6640,3442,1674,746,9133,9785,7834,8543
+,6648,4776,6040,4371,8350,877,5482,2481,5108,4932
+,8817,569,3264,313,1569,1003,2628,5393,7575,346
+,4950,9824,3870,5570,5227,4526,6599,1177,988,6061
+,6895,6585,3241,3986,5152,238,6893,4740,9801,5257
+,8878,7725,3970,4900,9218,9374,1815,867,5273,1550
-,1427,9343,9195,2884,3530,6866,1697,4698,4364,7874
+,8286,8358,8691,6872,5214,3948,8309,6547,8327,7487
+,667,5539,5512,345,2916,825,7723,2045,6521,7707
+,8631,8493,6842,4041,9783,6610,7960,1931,2674,9310
+,8176,9726,9452,1343,526,2725,7984,7135,9440,699
+,7965,4660,9432,9666,2425,8343,9184,8913,8432,8164
+,1249,4794,360,7552,8391,7487,6912,4565,2690,7874
+,3649,6108,2270,8256,6092,7239,1289,856,110,5636
+,5089,8307,327,562,7455,1805,1947,6712,5173,4163
+,5138,89,2513,5449,8401,9757,3977,6531,1222,8148
+,347,7849,9673,8482,5077,1793,3301,1774,1341,1030
-,4713,2219,9294,3366,3735,9440,2441,4419,5863,2215
+,5677,4097,5295,7583,847,3045,7884,2656,3974,1246
+,1229,2598,8516,8086,4105,3345,7092,3473,5587,5339
+,9763,5103,9711,6588,8082,2835,6851,6709,7780,9993
+,9647,7432,9278,1744,4237,3689,541,6213,1340,3213
+,3692,1067,2264,4535,4933,3294,7766,2445,5621,8074
+,9666,7028,5717,6971,4467,2666,9490,4783,2835,5655
+,7546,7431,6906,5938,6063,8226,3516,2828,2111,1909
+,8524,1147,8328,1937,7244,9448,1080,8695,6522,7519
+,3788,8364,480,6924,4807,8849,451,7651,5014,1101
+,2273,2482,4400,2505,2882,2833,8367,316,5184,1389
-,7492,244,8239,6546,2646,5193,2175,2046,1287,5420
+,3556,4964,3979,1767,5937,1293,3863,483,5395,1983
+,9640,3992,7380,5274,9374,3942,8263,9429,9109,1896
+,7215,9178,3336,4943,7662,9939,1910,3556,8912,553
+,5778,6304,4059,5436,8692,4899,5792,5188,1959,5413
+,8952,6453,835,3973,3600,3879,7415,9600,9389,6641
+,2779,3889,86,2845,5776,5303,2964,4137,3554,8281
+,2401,7833,2470,3545,3941,4065,6503,3137,2213,53
+,10,7813,1745,3074,5225,6947,1650,3932,9114,755
+,6430,1165,8502,2849,9574,5401,3756,2697,4386,7860
+,7628,8141,3665,6058,8102,1547,3720,3833,5096,4062
-,9483,2720,607,8443,627,9474,3520,3518,5731,4097
+,4023,2669,4291,8815,3126,1555,5068,5155,3059,3683
+,105,969,308,1629,7616,9799,7003,9908,7368,4540
+,5919,2559,7867,9215,9781,5674,6064,7259,9124,8830
+,9748,9136,5780,4146,1526,82,6337,7465,5953,8747
+,5325,2508,6407,9991,5427,4658,7525,3790,9200,5564
+,8919,8629,1004,4055,9833,4500,3576,5108,9404,9596
+,3646,6258,1855,3304,852,9086,9249,8796,930,127
+,7204,63,6638,1045,5579,6189,9327,8074,6980,6399
+,8389,2075,9110,283,3206,5096,2678,6739,5341,3731
+,7197,1708,4641,5666,2791,1845,4520,7540,724,8155
-,1753,4185,7592,4325,6422,8022,964,5733,8643,4414
+,6016,5976,4136,1490,8595,1928,6145,8288,3288,4677
+,2340,137,3366,4058,5516,3747,5954,3985,7354,4112
+,4636,7726,8223,1439,7976,4082,840,4728,344,5291
+,8213,7570,8127,150,1499,47,1252,9411,4048,9155
+,2722,1626,6717,4030,9144,2791,2733,838,1217,8774
+,4468,8002,8936,8783,5462,292,7087,3647,2486,1684
+,5565,876,8134,7480,781,5950,1750,8318,7361,8626
+,7477,7168,2635,856,5526,661,323,6981,2306,727
+,6288,5417,7933,8692,4381,7462,8958,2010,6970,5643
+,2712,3368,5832,8604,3352,3491,3730,6537,9059,8249
-,2777,2298,2226,884,3531,4745,4385,7623,8560,7338
+,8038,6138,4191,8148,8191,7883,5566,7054,8089,4557
+,5706,4536,7004,9306,6404,6599,9852,2513,8132,8983
+,7564,1638,8497,5934,7806,3561,9819,5616,7665,6628
+,817,4595,7393,6829,6928,1531,407,1963,3126,5194
+,7302,2173,1009,608,9962,1792,5044,3311,5755,4523
+,3301,1142,6972,963,9280,8194,358,7144,2587,6263
+,5934,3689,9102,2949,5753,254,1536,4344,222,6028
+,3093,3926,6484,1490,7030,4027,4989,9992,9987,4486
+,5169,8779,3709,8132,6593,1154,4396,5612,3851,2880
+,4294,5748,9227,7642,1681,9357,1846,7553,3545,1455
-,945,2505,2779,8201,1545,3569,2803,7997,8018,3513
+,5254,7812,1488,6576,4417,7050,1707,3683,2951,3809
+,3534,1107,6351,699,9201,5194,9881,5758,2839,603
+,2095,6204,101,2533,8741,645,9247,4075,454,3024
+,9315,3380,7741,9376,9599,4354,1613,6194,5239,1504
+,9221,9005,2143,8948,1980,8983,931,2255,4204,1379
+,9785,3139,50,1509,2417,4816,1121,5764,4971,306
+,6668,2203,2409,467,7428,8600,1378,5105,3887,7776
+,1716,5381,6208,3139,850,4587,927,6114,9697,2159
+,5250,334,2645,4468,3466,1049,6466,8979,7275,5564
+,8742,6524,6319,5921,2893,5581,3956,3502,5883,6038
-,9768,2719,8862,3760,4531,630,5011,6415,584,5
+,4453,9396,5888,9647,1339,3842,1128,3617,2161,4536
+,6350,529,6419,3348,5355,3985,7087,2547,2187,5895
+,3808,6289,9449,6755,9109,5599,6626,3939,6967,5181
+,5345,9960,3425,5081,9233,1420,5028,1914,1945,6560
+,5828,6974,7775,310,1509,1619,9385,4726,6687,1366
+,3381,4434,3064,2713,1710,7700,50,7509,543,1710
+,4986,9637,5264,8825,2108,3819,2247,4912,1645,2074
+,7114,7957,9743,8590,291,3302,579,1706,3642,9041
+,4440,1393,4621,6579,2138,3366,9393,9348,5767,3226
+,3299,9296,1307,966,7781,5381,4671,4969,8562,9780
-,5509,1526,8948,9487,7639,6294,2568,6546,6248,9043
+,996,3843,73,9058,3773,4040,5039,1538,7053,6208
+,1277,9542,91,7192,4678,7943,8526,5317,3886,3027
+,3979,3723,2335,5430,7461,2411,5200,6030,2285,5889
+,6249,9920,6647,5743,5840,7783,6350,1160,1985,4666
+,444,6347,9708,1793,2201,5158,7304,4639,9531,977
+,9047,9903,5451,7860,1742,7595,550,1095,5769,3400
+,8783,2046,602,6317,4128,3557,5315,227,5278,6517
+,8456,8068,6073,1698,3440,229,2508,7118,2362,546
+,663,20,660,1170,9965,7405,8551,1372,9964,5141
+,3663,482,223,4016,7689,713,8632,8993,3761,6785
-,8532,2575,6855,8844,331,7930,9715,1372,2966,1944
+,7303,8488,1593,3475,9655,2484,9495,7722,2926,2569
+,3865,2534,2254,9952,4074,9193,6576,7645,286,9270
+,1286,1650,2224,7963,7622,9645,9359,2585,4937,3391
+,5827,8812,1675,8033,5151,4341,928,3321,4912,252
+,4696,8008,5827,8012,6830,1840,670,4381,2602,9619
+,2446,754,1715,8869,6657,2748,9173,8397,1106,911
+,9117,7121,9747,5682,7013,2292,8745,2452,3497,7980
+,7440,7151,739,2092,8258,7338,3970,7354,2070,6059
+,8979,3132,1923,9155,275,6739,7827,7591,7418,1081
+,6051,6657,8391,7937,2033,4861,3497,6461,5639,67
-,8184,1900,4480,3481,515,761,5520,1887,2675,6028
+,926,409,7378,6082,3902,4883,2998,325,2011,1267
+,2968,8203,279,3549,3365,4687,5203,5317,3395,5419
+,6816,759,6842,7419,178,6291,572,43,1051,8477
+,3262,1574,7545,4321,9622,2824,9185,4778,8689,1732
+,7400,7433,7213,3354,7792,5659,4007,4741,7995,595
+,1348,1395,6923,2150,1167,9943,8490,6432,853,8809
+,6165,7689,6272,6525,6416,82,8453,5026,3724,8200
+,3432,7360,7633,7858,8946,9446,5866,7177,3260,1985
+,4878,7268,9901,4588,1684,5029,1480,1395,74,3897
+,3045,9151,4803,8633,6250,4365,235,9419,9579,6892
-,6288,5417,7933,8692,4381,7462,8958,2010,6970,5643
+,9286,3837,9500,9978,9026,38,3598,9558,6968,3924
+,4150,8560,127,8715,3584,5902,4286,3161,1721,1790
+,8407,603,8282,9861,463,9225,1707,848,4878,9682
+,9243,1541,546,308,4790,5256,3202,8206,3665,2796
+,7041,5955,6397,6677,6434,799,198,8139,1615,4802
+,3285,4759,1562,2075,6921,8117,1755,5589,7395,2574
+,5077,5580,2228,2245,2036,285,7620,367,4659,2344
+,5289,5935,1397,9444,5346,967,3578,2875,5128,8132
+,54,5668,5120,5154,9842,4958,5492,8626,1210,6915
+,6375,8376,4397,9192,657,6630,9623,4137,3122,4259
-,7713,9625,4650,1600,5524,5430,3303,4143,609,9083
+,3157,9517,9688,3900,3230,1800,5357,184,6864,5000
+,8741,9849,8262,5694,3,2673,7214,4940,8780,6151
+,3322,545,2028,8576,4280,8807,478,4564,3455,6717
+,8628,8748,8828,1562,6223,253,7025,5747,2747,280
+,1901,904,8718,1358,6786,3769,7769,5649,655,2736
+,2626,1596,8577,3429,3865,780,6334,2683,9467,470
+,6731,7636,8910,7039,9170,3248,1443,1330,1790,8770
+,1489,4492,271,5074,2866,5733,5424,2726,8145,8780
+,5380,2882,6022,9615,3961,7880,5964,4314,1702,8606
+,5253,5317,7872,9529,2309,1231,1134,228,2215,5039
-,5807,971,6396,5603,4532,1459,9209,1433,726,8103
+,1654,71,119,1555,3872,3567,753,707,3934,5315
+,4156,2545,8366,6157,7429,4149,2553,7748,6947,2732
+,435,8370,7517,4872,4728,4824,2108,5442,6508,5264
+,603,283,2794,1471,3808,8469,1457,7307,3654,9779
+,1764,1076,770,5039,2940,4285,9142,9157,8615,841
+,9415,6441,6011,8417,7599,8212,5720,3238,1730,764
+,8694,8960,4184,5283,342,5067,2215,3147,112,1493
+,2825,4208,2997,397,7862,1194,6938,3018,542,8266
+,4402,91,9120,4799,4401,581,6026,659,5109,1587
+,8835,5023,7130,386,5399,4124,9912,7497,486,3625
-,9445,9303,6385,7469,6300,584,7325,3643,8884,6106
+,4651,8383,2942,2008,9584,769,1284,610,2532,6429
+,2031,9201,2611,5867,5593,7485,291,4494,6624,3100
+,1239,2641,4836,6176,4148,3256,6766,9333,5748,7912
+,5368,4407,5960,8356,2378,370,2601,3756,2001,7890
+,4846,7195,4114,8217,3233,6524,1287,2045,6861,7535
+,5817,4277,3873,4074,7901,3894,9677,9288,3762,9577
+,4699,8907,4528,8344,152,8163,4706,4906,8824,6863
+,3990,2832,9586,5042,3225,9613,6728,2197,6891,7286
+,4562,6918,7103,3941,426,794,3061,8469,1223,101
+,9485,9293,6025,8503,3102,2741,8086,6266,5272,6134
-,7272,1741,6755,6044,9798,8830,9192,155,1591,4678
+,7837,3106,3617,9625,8174,500,2567,9862,1123,2112
+,2908,6921,9446,3652,3113,980,2465,1068,729,3977
+,621,6510,2387,8475,3014,2526,3467,8098,1243,8173
+,2359,8804,1309,4795,7885,7802,2880,2807,5381,4539
+,7608,6210,5701,300,9757,484,4850,6335,2716,8241
+,8875,7937,6914,6658,8413,2385,9424,1376,4505,2173
+,7121,5581,70,4050,9927,8267,1356,4222,5497,5507
+,3689,9971,3407,8280,7298,9688,6598,789,5162,3502
+,5426,5748,9070,754,4169,9128,9451,8230,5623,8512
+,6195,117,6226,4472,8307,8652,5273,5260,973,6439
-,8848,6045,9931,7529,450,7251,7465,1013,9918,0
+,5443,9621,5821,4977,3730,6568,3933,4415,4274,1126
+,6411,8668,7083,9167,4102,5096,7563,1768,2317,6009
+,6081,4522,8659,6981,7282,6140,2530,2300,6379,1775
+,3831,5784,1436,258,5657,6373,6563,1738,2273,4612
+,6223,6197,4584,6400,7318,5368,9835,1330,2759,8739
+,4145,9794,9674,5328,6774,17,409,5971,2206,4640
+,5889,8303,7270,3069,6378,9894,2227,2768,9188,199
+,8768,1458,6620,8755,7366,3087,2945,114,6005,6997
+,7378,3468,8461,7000,1979,5606,2641,4548,9781,1952
+,7188,865,6905,2828,2113,4819,110,2379,3938,9668
-,1874,9487,3955,3887,6149,4788,7049,155,9229,3243
+,5081,9420,5236,109,4153,1391,4592,7628,6858,212
+,5951,6971,1153,3753,5520,4048,685,9188,486,9618
+,3668,7027,5361,1310,4684,8893,7351,6386,7166,4347
+,3255,7348,7285,7866,8073,9800,6485,7483,1659,407
+,4135,5745,1863,4755,6247,1464,7432,9282,5236,1358
+,9072,5490,6668,2414,4610,8751,3184,189,2340,6477
+,5379,5840,9415,1800,6291,522,6676,8067,8977,3304
+,6726,8899,4017,5570,5670,8392,6347,6767,7330,5678
+,4086,3186,1049,2877,7621,7440,7593,8170,4670,9339
+,9466,8088,2095,4418,3200,9073,2942,9946,2203,8845
-,2253,2281,7700,324,3722,6674,3891,163,3146,1926
+,6340,2812,4064,3925,3884,2416,9869,3560,3379,8939
+,908,9542,807,1570,8041,5854,1030,2405,2497,7177
+,7388,7755,7070,3145,6484,4769,1196,9820,8593,438
+,4143,8184,8871,8803,2136,8325,3627,1298,5563,3780
+,2724,6953,9398,1230,8470,2031,7150,7773,8943,7863
+,9109,854,7171,8188,8875,2351,7119,4826,906,2232
+,9271,5230,8688,9850,9226,5629,8547,9557,3425,213
+,3359,5501,9213,8555,6402,9282,5934,3724,9870,6209
+,76,226,583,817,597,6436,3377,9108,4365,3281
+,6697,9993,3424,5188,5670,5479,9521,8362,9718,6001
-,2473,4098,4068,7607,5562,7894,8001,4225,7621,4489
+,8345,7118,2741,5227,9334,891,3163,2999,3450,4989
+,7646,5984,4315,6877,65,7883,3496,6916,5854,8039
+,4429,6011,6126,598,7545,2395,2985,5607,5740,7883
+,8039,439,2087,5037,7786,2376,8871,1014,7329,493
+,8367,9682,2977,7890,9928,5625,4839,9293,2083,8474
+,5751,2004,4812,3085,9581,5598,728,7408,8237,7782
+,2319,4947,3047,5377,4534,8864,761,6499,5279,239
+,1160,1165,2152,9677,7379,1484,7214,6054,4958,2084
+,3800,6491,2595,6998,9196,534,8791,2707,9125,5312
+,3218,9062,8903,1436,7648,1523,5348,3246,8259,7733
-,7825,3048,5834,6656,2862,325,1081,6003,8703,5620
+,9704,4579,3906,5677,1876,3022,8236,2488,3465,8946
+,5693,5549,2537,9189,3685,558,1251,9303,6050,8296
+,4370,2202,4414,6738,9516,3848,9406,6350,8037,2809
+,6851,442,9786,4865,759,2672,348,7700,7992,2743
+,6937,7191,8347,5230,681,3914,1696,4131,1889,3129
+,7912,2320,2118,3770,3558,2002,3145,5073,1725,6441
+,8167,3837,2787,2633,5286,8506,3045,1345,2169,459
+,9203,4017,9859,9108,5694,567,7423,2454,4206,3362
+,3050,4390,9880,3750,8793,1874,2326,4468,813,3775
+,6764,3483,5794,8177,3741,2210,532,7742,6560,7846
-,1582,7952,9522,2721,2031,2687,8553,6532,5069,855
+,441,1306,5514,4897,3326,5974,5642,5414,8513,2941
+,8413,8399,1579,8353,6393,9767,642,6984,2722,597
+,5178,6728,882,5440,2513,7718,4997,6425,9099,3004
+,4484,5962,2273,7181,2107,4731,8685,6050,7338,3156
+,1599,8968,962,9345,9492,6681,9029,2470,4695,1342
+,5336,8424,1493,2255,6526,3621,7637,591,7186,6604
+,5208,4299,2533,3478,7070,5326,9329,544,1405,1460
+,7001,6947,7684,6477,1218,5342,5187,4515,6741,5650
+,8827,2054,9642,5068,7509,671,3323,1130,6757,6354
